ADDRESS_ID|ADDRESS|DISTRICT|CITY|COUNTRY
267|816 Cayenne Parkway|Manab|Portoviejo|Ecuador
50|46 Pjatigorsk Lane|Moscow (City)|Moscow|Russian Federation
121|1967 Sincelejo Place|Gujarat|Gandhinagar|India
213|43 Dadu Avenue|Rajasthan|Bhilwara|India
16|808 Bhopal Manor|Haryana|Yamuna Nagar|India
231|430 Alessandria Loop|Saarland|Saarbrcken|Germany
396|767 Pyongyang Drive|Osaka|Izumisano|Japan
137|261 Saint Louis Way|Coahuila de Zaragoza|Torren|Mexico
105|733 Mandaluyong Place|Asir|Abha|Saudi Arabia
378|1191 Tandil Drive|Southern Tagalog|Tanauan|Philippines
459|251 Florencia Drive|Michoacn de Ocampo|Uruapan|Mexico
132|1050 Garden Grove Avenue|Slaskie|Jastrzebie-Zdrj|Poland
66|1717 Guadalajara Lane|Missouri|Saint Louis|United States
52|909 Garland Manor|Tatarstan|Niznekamsk|Russian Federation
75|492 Cam Ranh Street|Eastern Visayas|Baybay|Philippines
10|1795 Santiago de Compostela Way|Texas|Laredo|United States
571|1746 Faaa Way|Huanuco|Hunuco|Peru
457|535 Ahmadnagar Manor|Abu Dhabi|Abu Dhabi|United Arab Emirates
12|478 Joliet Way|Hamilton|Hamilton|New Zealand
335|587 Benguela Manor|Illinois|Aurora|United States
198|345 Oshawa Boulevard|Tokyo-to|Hino|Japan
33|786 Aurora Avenue|Yamaguchi|Shimonoseki|Japan
268|1831 Nam Dinh Loop|National Capital Reg|Mandaluyong|Philippines
148|1027 Songkhla Manor|Minsk|Molodetno|Belarus
496|775 ostka Drive|al-Daqahliya|Mit Ghamr|Egypt
2|28 MySQL Boulevard|QLD|Woodridge|Australia
64|81 Hodeida Way|Rajasthan|Jaipur|India
81|1692 Ede Loop|So Paulo|Araatuba|Brazil
360|619 Hunuco Avenue|Shimane|Matsue|Japan
115|1378 Alvorada Avenue|Distrito Federal|Caracas|Venezuela
141|1749 Daxian Place|Gelderland|Apeldoorn|Netherlands
288|226 Halifax Street|Xinxiang|Korla|China
61|943 Tokat Street|Vaduz|Vaduz|Liechtenstein
176|29 Pyongyang Loop|Batman|Batman|Turkey
404|734 Bchar Place|Punjab|Okara|Pakistan
422|289 Santo Andr Manor|al-Sharqiya|al-Qatif|Saudi Arabia
24|1688 Okara Way|Nothwest Border Prov|Mardan|Pakistan
194|605 Rio Claro Parkway|Tabora|Tabora|Tanzania
264|1027 Banjul Place|West Bengali|Halisahar|India
498|319 Plock Parkway|Istanbul|Sultanbeyli|Turkey
